ID,论文简称,完整题名,内容概述,专题,分类,主题,期刊或会议,发表时间,日期口径,发表状态,主要痛点,数据集,方法,结论,评测设置,限制,原文URL,代码URL,代码状态,核验日期,核对范围
hergai-2025,HERGAI,HERGAI: an artificial intelligence tool for structure-based prediction of hERG inhibitors,结合分子对接与集成模型，从大量候选分子中识别可能阻断 hERG 心脏离子通道的化合物。,ADMET 与药代动力学,核心论文,hERG; 对接; 类别不均衡,Journal of Cheminformatics,2025-07-24,出版社在线发表日期,journal,小规模或阳性富集的测试集不能充分反映筛选中大量阴性、少量 hERG 阻断剂的场景。,"PubChem/ChEMBL 清洗后 299,927 个分子：1,937 阳性、297,990 阴性；采用 IC50 20 μM 判据，按 Bemis–Murcko 骨架成组分配约 3:1 训练/测试集。",Smina 对接后选择结合姿势，提取蛋白–配体 PLEC 指纹；RF、XGBoost、DNN 作为基模型，DNN 作为堆叠集成元学习器；在训练折内过采样。,作者报告测试集对 IC50≤20 μM 阻断剂的召回约 86%，对≤1 μM 阻断剂约 94%；筛选富集优于论文比较的通用对接打分方案。,"**实验设计。** 以 IC50≤20 μM 定义阻断剂，按 Bemis–Murcko 骨架成组分配约 3:1 的训练/测试集。Table 1 给出训练 224,945 个分子（1,453 阳性），测试 74,982 个（484 阳性）。训练集内五折验证同时选择模型超参数和决策阈值；过采样仅用于训练折，随机种子为 42。

**核心结果。** 最终 DNN 堆叠模型 HERGAI 在测试集的阳性召回率为 0.864；对 IC50≤1 μM 阻断剂的召回率为 94.29%。对照包括单个 RF/XGBoost/DNN 模型、对接打分函数，以及在同一测试集运行的 CardioTox net 和 AttenhERG。论文同时报告特异度、平衡准确率、ROC-AUC 和前 0.1%/1% 富集因子（Results and Discussion、Table 2、Conclusions）。",该测试集是同一整理数据源中的留出骨架集合。测试集筛选表现还参与了对接姿势打分方案选择，因此后续复现宜另设独立外部集检验完整流程。高召回应与特异度、富集率一起解读。,https://doi.org/10.1186/s13321-025-01063-8,https://github.com/vktrannguyen/HERGAI,作者代码与数据可访问；仓库于 2026-01-01 归档,2026-09-22,已核对 Table 1 样本数、训练折过采样、阈值选择和测试集结果
mc-pgp-2025,MC-PGP,A multimodal contrastive learning framework for predicting P-glycoprotein substrates and inhibitors,融合 SMILES、指纹和分子图，分别判断分子是否抑制 P-gp、是否会被 P-gp 转运。,ADMET 与药代动力学,核心论文,P-gp; 多模态; 外部验证,Journal of Pharmaceutical Analysis,2025-04-16,论文在线发表日期；卷期月份另列,journal,单一表示难以覆盖 P-gp 相关结构信息；抑制剂与底物需要区分，并检验新来源化合物上的表现。,"公开数据库/文献汇编：抑制剂数据集共 5,943 个分子（4,558 阳性、1,385 阴性），底物集共 4,018（2,455 阳性、1,563 阴性）；独立外部集分别为 140 和 185 个分子。",注意力融合 SMILES 序列、分子指纹与分子图表示；图对比学习对齐局部与全局结构，并分析相关官能团。,抑制剂和底物外部集 AUROC 分别为 0.906±0.015、0.906±0.022；同一实验的 FP-GNN 分别为 0.825±0.015、0.819±0.027，绝对增益为 0.081 和 0.087。,"**实验设计。** 抑制剂集 5,943 个分子，底物集 4,018 个；分别采用随机和骨架 8:1:1 划分。验证集上做 30 次贝叶斯搜索，10 个随机种子报告均值±标准差。外部集分别为 140 和 185 个分子，使用随机划分实验训练的模型评价。

| 评价集 | MC-PGP AUROC ↑ | 对照 AUROC ↑ | 原文位置 |
| --- | --- | --- | --- |
| 抑制剂，随机划分 | 0.939±0.006 | CMMS-GCL 0.928±0.010 | Table 2 |
| 抑制剂，骨架划分 | 0.857±0.009 | FP-GNN 0.832±0.010 | Table 3 |
| 抑制剂，外部集 | 0.906±0.015 | FP-GNN 0.825±0.015 | Table 4 |
| 底物，外部集 | 0.906±0.022 | FP-GNN 0.819±0.027 | Table 5 |

外部集 9.82%/10.62% 是相对提升比例；绝对 AUROC 增益为 0.081/0.087。",抑制剂与转运底物是分别建模的两项任务。抑制剂任务从随机划分换为骨架划分后 AUROC 明显下降，说明对新骨架的泛化仍是关键问题。,https://doi.org/10.1016/j.jpha.2025.101313,,完整训练实现的公开链接待核实,2026-09-22,已核对训练协议、外部集说明和 Tables 2–5
molmcl-2025,MolMCL,Multi-channel learning for integrating structural hierarchies into context-dependent molecular representation,从分子整体、骨架和局部环境等层面学习表示，再按任务组合这些信息，用于性质和生物活性预测。,ADMET 与药代动力学,专题补读,多通道预训练; 活性悬崖,Nature Communications,2025-01-06,出版社在线发表日期,journal,不同任务依赖的分子结构层级不同，固定的图表示和读出方式难以适配所有任务。,ZINC15 用于预训练；7 个 MoleculeNet 数据集及 MoleculeACE 的 30 个生物活性任务用于下游评价。,分子、骨架和上下文相关的多通道学习，结合分子扰动、对比学习及提示引导的读出。,多通道及任务适配改善所测分子任务的表示，活性悬崖实验显示该设计的价值。,下游实验包括 7 个 MoleculeNet 子集和 30 个 MoleculeACE 生物活性任务。,活性悬崖实验适合用于研究表示对局部结构变化的敏感性。本文 MolMCL 与 Bioinformatics 上的 MoleMCL 为两项独立工作。,https://www.nature.com/articles/s41467-024-55082-4,https://github.com/yuewan2/MolMCL,作者代码/项目入口已公开,2026-09-19,书目、正文关键部分及相关官方资源
mole-2024,MolE,MolE: a foundation model for molecular graphs using disentangled attention,先在海量分子图上预训练，再利用生物学任务数据进一步训练，最后用于 ADMET 性质预测。,ADMET 与药代动力学,核心论文,图基础模型; 大规模预训练,Nature Communications,2024-11-12,出版社在线发表日期,journal,怎样从超大规模无标签分子中学习可迁移表示，并与有标签的生物学任务信息结合？,"约 8.42 亿个 ZINC20/ExCAPE-DB 分子用于自监督预训练；约 45.6 万个分子、1,310 项 ChEMBL 活性读出用于监督预训练。下游评估 TDC 22 任务，并从两阶段预训练数据中移除 TDC 测试分子。",引入解耦注意力，将原子内容信息与图中相对位置建模结合；先预测原子环境，再进行监督预训练和下游微调。,作者报告相对于 2023 年 9 月的 TDC 已发表方法快照，在 10/22 个任务超过当时最佳成绩；实验报告多次运行的均值与标准差。,"**实验设计。** TDC 骨架划分保留 20% 测试集，报告 5 次独立运行的均值±标准差。Table 1 同时列出 2023 年 9 月和 2024 年 6 月的榜单比较；正文“10/22 领先”使用前一个快照。

| 任务 | MolE | 2023 年 9 月最佳基线 | 指标 |
| --- | --- | --- | --- |
| Lipophilicity，4,200 分子 | 0.406±0.009 | Chemprop-RDKit 0.467±0.006 | MAE ↓ |
| PPBR，1,797 分子 | 7.229±0.168 | Chemprop 7.811±0.163 | MAE ↓ |
| 半衰期，667 分子 | 0.578±0.032 | Euclia ML 0.547±0.032 | Spearman r ↑ |
| Caco-2，906 分子 | 0.329±0.008 | BaseBoosting 0.285±0.005 | MAE ↓ |
| AMES，7,255 分子 | 0.834±0.015 | ZairaChem 0.871±0.002 | AUROC ↑ |

**消融。** 使用约 120 万个 GuacaMol 分子的较小预训练设置进行模块比较；移除解耦注意力后，22 个任务中有 19 个变差（Supplementary Table S1）。",预训练规模、任务监督和注意力模块共同影响成绩。消融使用较小预训练集，其结果与完整 8.42 亿分子模型分别解读。,https://www.nature.com/articles/s41467-024-53751-y,https://github.com/recursionpharma/mole_public,模型实现公开；截至 2026-09-22，README 的预训练模型下载章节仍为 TODO,2026-09-22,已核对预训练数据、测试分子排除策略、Table 1、消融说明及官方 README
pharmabench-2024,PharmaBench,PharmaBench: Enhancing ADMET benchmarks with large language models,用大语言模型辅助提取实验条件，再清洗和统一 ADMET 记录，构建条件更明确的评测数据集。,ADMET 与药代动力学,数据与基准,数据清洗; 实验条件,Scientific Data,2024-09-10,出版社在线发表日期,journal,ADMET 数据中的测定条件和定义不统一，简单合并标签会损害基准质量。,"从 14,401 个生物测定整合 156,618 条原始记录；经处理得到 52,482 条记录、11 个 ADMET 数据集。",使用大语言模型辅助抽取测定信息，再进行结构、单位、重复项和实验条件的整理，提供建模划分。,整理测定条件、统一数据处理流程，为 ADMET 建模提供实验信息更明确的数据与基准。,基准构建关注测定条件、单位、结构清洗与数据划分。,可据此制定数据清洗和标签统一流程；与其他公共数据合并时，应按来源及分子结构检查重复记录。,https://www.nature.com/articles/s41597-024-03793-0,https://github.com/mindrank-ai/PharmaBench,作者代码/项目入口已公开,2026-09-19,书目、正文关键部分及相关官方资源
bbb-megamolbart-2024,BBB MegaMolBART,Predicting blood–brain barrier permeability of molecules with a large language model and machine learning,用分子语言模型和 XGBoost 预测血脑屏障通透性，并用人源三维 BBB 球体检验部分候选。,ADMET 与药代动力学,专题补读,BBB; 分子语言模型; 体外验证,Scientific Reports,2024-07-09,出版社在线发表日期,journal,BBB 标注数据有限，分子预训练表示能否改善预测并得到体外实验支持仍需检验。,"B3DB 7,807 个分子（4,956 BBB+、2,851 BBB−），CMUH 2,499 个分子（105 BBB+、2,394 BBB−）；B3DB 中 1,058 个有 logBB 数值。另选择 21 个预测可透过和 5 个不可透过候选做球体实验，并设置对照。",MegaMolBART 编码 SMILES，再用 XGBoost 分类/回归；与 Morgan 指纹比较。人脑微血管内皮细胞、周细胞及星形胶质细胞构成 BBB 球体，以 LC–MS/MS 测定通透性。,作者报告最终留出测试 AUROC 0.88，所选候选的球体实验与预测方向一致，支持该流程用于 BBB 筛选探索。,比较 B3DB 单独训练、CMUH 外测及混合数据方案；最终分类将 B3DB/CMUH 按 80/10/10 分配，留出集 AUROC 为 0.88。,球体实验选择了预测分数极高或极低的候选，结果支持这些候选的体外通透性判断。中间分数候选及人体通透性仍需进一步实验。,https://doi.org/10.1038/s41598-024-66897-y,,原文提供 B3DB 和 MegaMolBART 组件入口；完整训练流程的代码链接待补充,2026-09-22,书目、正文相关方法与结果及列出的官方资源
admet-ai-2024,ADMET-AI,ADMET-AI: a machine learning ADMET platform for evaluation of large-scale chemical libraries,将图神经网络用于网页和本地预测工具，一次预测多项 ADMET 性质，方便快速筛选大规模化合物库。,ADMET 与药代动力学,核心论文,综合ADMET; 平台; 高通量,Bioinformatics,2024-06-24,出版社在线发表日期,journal,大规模筛选需要兼顾多端点预测效果、吞吐量和本地部署能力。,TDC 的 41 个预测任务：31 分类、10 回归；性能排名比较使用其中的 22 任务 ADMET Benchmark Group。,论文版采用 Chemprop D-MPNN 与 200 个 RDKit 描述符；分别训练分类、回归多任务模型，并使用模型集成。,论文中单任务模型在 20/31 个分类任务达到 AUROC>0.85，在 5/10 个回归任务达到 R²>0.6；多任务模型效果接近且推理更快。32 核 CPU 加 GPU 的百万条输入计时为 3.1 小时。,"**实验设计。** 使用 TDC v0.4.1 的 41 个任务，其中 22 个属于 ADMET Benchmark Group。每个任务按 5 组训练/验证/测试划分训练并汇总测试成绩；部署时集成 5 个模型。比较单任务训练和按分类/回归分组的多任务训练。

| 实验 | 结果 | 原文位置 |
| --- | --- | --- |
| 单任务分类，31 个任务 | 20 个任务 AUROC>0.85 | Supplementary Fig. S2 |
| 单任务回归，10 个任务 | 5 个任务 R²>0.6 | Supplementary Fig. S2 |
| 本地 32 核 CPU + GPU | 百万条输入 3.1 小时 | Fig. 1C |
| 本地 8 核 CPU、无 GPU | 百万条输入约 5 小时 | Fig. 1C |

**计时数据。** 百万条输入由 1,000 个 DrugBank 分子重复 1,000 次组成，记录 3 次计时的中位数；这是吞吐量测试，不是百万个不同分子的预测准确率验证。全部逐任务成绩见 Supplementary Table S1。",论文评测、网页部署的多任务集成和当前软件版本分别记录。v2 调整了 Chemprop 与特征配置，复现论文应使用对应版本。,https://pmc.ncbi.nlm.nih.gov/articles/PMC11226862/,https://github.com/swansonk14/admet_ai,作者代码/项目入口已公开,2026-09-22,已核对正文训练/部署区别、Fig. 1 计时设计与补充结果索引
admetsar-3-2024,admetSAR3.0,"admetSAR3.0: a comprehensive platform for exploration, prediction and optimization of chemical ADMET properties",把 ADMET 数据查询、性质预测和结构优化建议整合到一个平台，帮助寻找更合适的候选分子。,ADMET 与药代动力学,专题补读,综合ADMET; 平台; 结构优化,Nucleic Acids Research,2024-04-22,出版社在线发表日期,journal,用户不仅需要性质预测，还需要查询相似化合物及寻找改善 ADMET 的结构修改方向。,"超过 37 万条实验记录，涉及 104,652 个不同化合物、119 个 ADMET 端点。","CLMGraph 先依据 1,000 万个小分子的 QED 构造分子对进行对比预训练，再进行 ADMET 多任务微调；另整合相似性检索、骨架跃迁和匹配分子对变换规则。",90 个分类端点的平均 AUC 为 0.870，超过 82% 的回归端点 Pearson r>0.70；半衰期和平均滞留时间表现较弱。平台同时提供实验数据查询和结构优化功能。,"**实验设计。** 使用五折交叉验证和外部验证；CLMGraph 分类采用 BCE 损失，回归采用 MSE 损失。监督微调前，使用 1,000 万个分子的 QED 信息构造对比学习任务。

**结果。** 正文 Results presentation 报告 90 个分类端点平均 AUC 0.870；超过 82% 的回归端点 Pearson r>0.70。肾清除率分类、半衰期和平均滞留时间回归表现较弱。正文没有逐端点给出外部集规模及分数，因此这些平均值仅按文中总体结果记录，不标成外部验证均值。

**优化案例。** ADMETopt2 从匹配分子对提取 21 个 ADMET 端点的变换规则；案例将建议与既有文献的结构修改和实验结果对应（Supplementary Text S1、Table S1）。Table 1 的平台比较主要比较覆盖、功能和速度。",五折验证和外部验证的逐端点信息需与各模型报告对应。结构优化案例属于已有化合物的回顾性案例，不能代表全部生成建议已经过实验验证。,https://doi.org/10.1093/nar/gkae298,,在线平台免费开放，ADMETopt2 变换规则在 figshare 提供下载；正文未链接完整预测模型的训练代码及权重仓库,2026-09-22,已核对全文 Model building、Results presentation、优化案例及数据可用性声明
admetlab-3-2024,ADMETlab 3.0,"ADMETlab 3.0: an updated comprehensive online ADMET prediction platform enhanced with broader coverage, improved performance, API functionality and decision support",提供覆盖多类 ADMET 及理化性质的在线预测平台，并加入不确定性评估、API 和决策支持功能。,ADMET 与药代动力学,专题补读,综合ADMET; 平台; 不确定性,Nucleic Acids Research,2024-04-04,出版社在线发表日期,journal,平台覆盖不足、调用不方便，且仅给出点预测难以支持化合物决策。,整理超过 40 万条建模数据，覆盖 77 个预测端点（59 分类、18 回归）；平台的 119 项输出还包含 34 个直接计算端点和 8 项规则。逐端点规模见 Supplementary Table S1。,多任务有向消息传递模型与描述符建模，结合预测不确定性、API 和决策支持功能。,在相同数据和划分下，DMPNN 系列在 59 个分类任务中的 47 个优于 MGA；平台将 77 个预测模型与计算属性、规则、预测不确定性和 API 集成。,"**实验设计。** 各端点随机 8:1:1 划分，重复 5 次；Adam 训练、贝叶斯搜索调参。比较 DMPNN、加入描述符的 DMPNN-Des，以及在相同数据和划分上训练的 MGA。分类指标为 AUC、ACC、MCC，回归为 R²、RMSE、MAE。

**结果与定位。** 正文报告 DMPNN 系列在 47/59 个分类端点上优于 MGA（Fig. 3）；18 个回归端点的表现分别列在 Supplementary Table S5，分类逐项成绩见 S4。原有回归端点中的 LC50FM R² 为 0.68，新加入的半衰期回归 R² 接近 0.7。S6–S7 给出不确定性分组与阈值。

**使用方式。** 提供网页和 API；API 可选择 DMPNN 或 DMPNN-Des，并返回预测值及置信度分组。模型验证采用随机划分，与 TDC 骨架基准分别解读。",119 是平台总输出数，77 是学习得到的预测端点数。平台覆盖与推理速度可以用于工具选型，模型准确率则按具体端点和划分评价。,https://doi.org/10.1093/nar/gkae236,,提供在线平台与 API 文档；论文未提供完整训练代码和模型权重的公开仓库入口,2026-09-22,已核对全文模型构建、Fig. 3、端点计数及 Supplementary Tables S1–S7 的引用位置
kpgt-2023,KPGT,A knowledge-guided pre-training framework for improving molecular representation learning,把分子指纹和理化描述符融入图预训练，让模型学到更适合预测 ADMET 等性质的分子表示。,ADMET 与药代动力学,核心论文,图预训练; 化学知识,Nature Communications,2023-11-21,出版社在线发表日期,journal,图预训练目标可能偏离下游任务需求；如何使表示保留化学知识并提高迁移能力？,约 200 万个 ChEMBL29 分子预训练；下游 63 个数据集，包括 11 个常用性质数据集、22 个 TDC ADMET 任务和 30 个 MoleculeACE 任务。,LiGhT 线图 Transformer，结合分子描述符和指纹进行知识引导预训练，再对下游任务微调。,原文 Fig. 2c 与 Supplementary Table 8 报告，在当时比较的模型中，16/22 个 TDC ADMET 任务取得最佳表现。,"**实验设计。** 11 个常用性质数据集采用骨架 8:1:1 划分，运行 3 次；22 个 TDC 任务采用骨架 7:1:2 划分，运行 5 次。TDC 对照包括榜单中的 28 种方法，覆盖传统机器学习和深度学习。分类按任务使用 AUROC/AUPRC，回归使用 MAE/Spearman r。

| TDC 任务 | 指标 | KPGT | 论文所列最佳基线 |
| --- | --- | --- | --- |
| Caco-2，906 分子 | MAE ↓ | 0.284±0.009 | BaseBoosting 0.285±0.005 |
| P-gp 抑制剂，1,212 分子 | AUROC ↑ | 0.938±0.004 | ZairaChem 0.935±0.006 |
| CYP2C9 抑制剂，12,092 分子 | AUPRC ↑ | 0.797±0.006 | ZairaChem 0.786±0.004 |
| hERG，648 分子 | AUROC ↑ | 0.847±0.024 | SimGCN 0.874±0.014 |
| AMES，7,255 分子 | AUROC ↑ | 0.868±0.003 | ZairaChem 0.871±0.002 |

来源：Supplementary Table 8，均值±标准差。16/22 的领先任务数来自论文当时的比较；hERG、AMES 等任务也展示了其未领先的情形。

**对比表口径。** 补充材料将 PPBR 规模写为 1,614，当前 TDC 字典为 1,797；补充表 8 将 CYP3A4 底物指标写为 AUPRC，TDC 协议为 AUROC。这两项待统一口径后再进入跨方法对比，其余 20 项按原文记录。",最优均值与基线十分接近的任务，例如 Caco-2，需结合运行波动判断改进幅度。MoleculeACE 活性悬崖以及 HPK1/FGFR1 实验是额外的迁移检验，与 TDC ADMET 结果分别记录。,https://www.nature.com/articles/s41467-023-43214-1,https://github.com/lihan97/KPGT,作者代码/项目入口已公开,2026-09-22,已核对正文评测协议、Fig. 2 与正式 Supplementary Table 8
mtgl-admet-2023,MTGL-ADMET,ADMET property prediction via multi-task graph learning under adaptive auxiliary task selection,为每个 ADMET 预测任务自动挑选有帮助的辅助任务，减少多任务联合训练时的相互干扰。,ADMET 与药代动力学,核心论文,多任务; 辅助任务; 负迁移,iScience,2023-10-24,论文在线发表日期；卷期月份另列,journal,把所有 ADMET 任务放进同一个多任务模型可能产生负迁移；不同主任务需要不同的辅助任务。,"从 8 篇文献汇集 24 个端点：18 分类、6 回归，共 43,291 个化合物；含吸收、分布、代谢、排泄、毒性和 2 个理化性质端点。",以状态理论和最大流选择辅助任务，结合共享原子表示、任务特异注意力和以主任务为中心的门控模块。,在本文 24 个端点的统一实验中，20 个取得最高均值，其余 4 个排名第二；P-gp 底物 AUROC 0.801±0.031，优于 MGA 的 0.719±0.035，支持按主任务挑选辅助任务。,"**实验设计。** 汇集 43,291 个化合物、24 个端点（18 分类、6 回归），随机 8:1:1 划分，10 个随机种子；验证集用于辅助任务选择。对照为 ST-GCN、ST-MGA、MT-GCN、MT-GCNAtt 和 MGA。

| 端点 | 指标 | MTGL-ADMET | MGA |
| --- | --- | --- | --- |
| P-gp 底物 | AUROC ↑ | 0.801±0.031 | 0.719±0.035 |
| BBB | AUROC ↑ | 0.973±0.005 | 0.956±0.010 |
| Caco-2 | R² ↑ | 0.523±0.025 | 0.385±0.031 |
| ESOL | R² ↑ | 0.931±0.038 | 0.866±0.020 |

来源：Table 1，均值±标准差。CYP2C9、CYP2D6 抑制剂和肝毒性任务上，MGA 的均值更高；呼吸毒性任务上 ST-MGA 更高。",该论文的半衰期和清除率是分类任务，Caco-2 使用 R²。任务定义和随机划分与 TDC 对应基准不同，比较时需保留这些设置。,https://pmc.ncbi.nlm.nih.gov/articles/PMC10654589/,https://github.com/dubingxue/MTGL-ADMET,作者代码/项目入口已公开,2026-09-22,已核对 STAR Methods、24 端点数据说明及 Table 1
maplight-2023,MapLight,ADMET property prediction through combinations of molecular fingerprints,组合多种分子指纹和描述符，用 CatBoost 建立 ADMET 预测模型，检验传统特征方法的竞争力。,ADMET 与药代动力学,预印本,指纹; CatBoost; 基线,arXiv,2023-09-29,arXiv 首次提交日期；修订日期见发表信息,preprint,简单、计算成本较低的特征模型是否仍能与深度模型竞争？,TDC ADMET 22 任务。,组合 ECFP、Avalon、ErG 和分子描述符，使用 CatBoost；另有增加 GNN 表示的变体。,组合指纹模型在多个 ADMET 端点取得较好结果，为端点建模提供基线；后续第三方审计报告将 MapLight 两个版本列为通过其审计流程的方法。,使用 TDC ADMET 22 任务评价不同模型变体；另有第三方预印本对两个版本开展复现审计。,组合指纹模型为端点建模提供了实用基线；第三方审计结果可结合其代码版本与检查项目阅读。,https://arxiv.org/abs/2310.00174,https://github.com/maplightrx/MapLight-TDC,作者代码/项目入口已公开,2026-09-19,书目、正文关键部分及相关官方资源
ai-toxicity-review-2023,AI 药物毒性预测综述,"Artificial Intelligence in Drug Toxicity Prediction: Recent Advances, Challenges, and Future Perspectives",按毒性任务梳理机器学习和深度学习研究，并汇总可用于建模的公开数据与预测工具。,ADMET 与药代动力学,综述,毒性; 综述; 数据与工具,Journal of Chemical Information and Modeling,2023-04-26,出版社在线发表日期；卷期日期为 2023-05-08,journal,毒性预测研究分散在不同端点、数据资源和模型中，研究者需要按任务找到可用数据、代表方法与工具。,覆盖六类主要毒性性质及 Tox21 端点；补充表 S2 汇总 Tox21、TOXRIC、ToxRefDB 2.0、DILIrank、ToxCast、CTD、PubChem、ChEMBL、OCHEM、TDC 等公开资源，数据规模注明为 2022-05-10 的查询记录。,综述机器学习算法与深度学习架构在毒性预测中的应用；补充表 S1 对照 Tox21 方法、输入特征与性能，S2 汇总数据来源，S3 整理预测工具及其模型数量和算法。,形成从毒性任务查找模型、数据和工具的文献入口：既覆盖指纹与描述符模型，也包含图神经网络、多任务及知识引导方法，适合建立毒性预测专题的阅读框架。,该文属于综述，性能信息来自所引原研究。表 S1 按方法记录输入特征和 AUC/ACC；表 S3 列出 ProTox-II、FP-ADMET、HelixADMET、ADMETlab 2.0 等工具，网站访问日期为 2022-06-15。,表 S1 的分数对应不同原研究的端点和实验设置，比较模型时需回到相应论文；表 S2–S3 的数据规模、工具版本和访问日期保留为原文历史记录。,https://pubs.acs.org/doi/10.1021/acs.jcim.3c00200,,综述配套资源为公开数据和预测工具清单，见补充表 S2–S3,2026-09-22,已核对出版社书目与摘要，以及作者公开的 17 页补充材料表 S1–S3；正文各毒性小节尚未逐节核对。
uni-qsar-2023,Uni-QSAR,Uni-QSAR: an Auto-ML Tool for Molecular Property Prediction,自动组合分子指纹、描述符和一维至三维预训练表示，通过调参与堆叠集成完成多种 ADMET 性质预测。,ADMET 与药代动力学,预印本,AutoML; 多模态表示; 模型集成,arXiv,2023-04-24,arXiv v1 提交日期,preprint,不同性质依赖不同分子特征，手动选择表示、模型和超参数成本高；偏态回归标签和分类不均衡进一步增加建模难度。,TDC ADMET Benchmark Group 的 22 个任务：9 个回归、13 个分类；另做 CNS 穿透性案例，训练集 940 个化合物（315 个阳性、625 个阴性），外部测试集 117 个化合物。,融合指纹、描述符、K-BERT 等一维表示、GROVER/MolCLR/KPGT 等二维表示与 Uni-Mol 三维表示；结合目标值变换、不均衡学习、贝叶斯超参数优化和两层堆叠集成，并用 dflow 并行执行。,表 1–2 报告 Caco-2 MAE 0.273、BBBP AUROC 0.925；按表内 TDC 排名行统计，22 项中 17 项排名第一。CNS 案例 AUROC 为 0.980，消融实验支持三维表示、堆叠和目标值变换的贡献。,TDC 实验沿用文中所引基准报告的设置，与 Chemprop、DeepAutoQSAR 和 DeepPurpose 比较；部分基线成绩引用既有报告或榜单。正文没有逐任务列出划分和随机种子。表 1 回归任务有 8/9 项排名第一，表 2 分类任务有 9/13 项排名第一；这是论文发表时的表格记录。,摘要写“21/22 项达到 SOTA”，而表 1–2 的 TDC 排名行合计为 17/22 项第一。笔记采用结果表中的任务指标和排名计数；摘要与表格的统计口径未在文中解释。,https://arxiv.org/abs/2304.12239,https://github.com/deepmodeling/unimol_tools,公开的相关组件为 Uni-Mol Tools，提供 Uni-Mol 表示与性质预测功能；该入口不是论文完整的多表示堆叠流程,2026-09-22,已核对 arXiv v1 全文、表 1–2、CNS 案例和消融实验，并检查 Uni-Mol Tools README 的论文引用与功能说明。
atom-uncertainty-2023,原子级不确定性,Explainable uncertainty quantifications for deep learning-based molecular property prediction,把预测不确定性分解到分子中的原子，帮助定位陌生化学结构和潜在噪声，并校准集成模型的置信估计。,基础方法与基准,基础方法,不确定性; 校准; 可解释性; D-MPNN,Journal of Cheminformatics,2023-02-03,出版社在线发表日期,journal,分子级误差估计难以指出哪部分结构导致预测不可靠；直接平均多个网络的方差还会使集成模型的不确定性偏大。,"QM9 焓（133,885）、Zinc15 计算 logP（250,000）、Lipophilicity 实验 logD7.4（4,187）、Delaney/ESOL 水溶解度（1,128）。按本文清洗版本计数，见表 1。",在 D-MPNN 上预测原子级性质贡献与方差，通过原子间协方差汇总分子分布；深度集成区分数据噪声与模型知识不足，训练后仅更新方差层进行校准。,原子不确定性可以提示模型陌生的结构。校准降低多个任务的误差，例如 ESOL 的偶然不确定性 ECE 从 0.2118 降到 0.0622；改善程度随数据集而变。,"**实验设计。** 四个数据集采用随机 8:1:1 划分；比较原子级 AtomUnc 与分子级 MolUnc。性质误差用 MAE/RMSE，校准质量用 ECE/ENCE，均越低越好。

| AtomUnc 任务 | 校准前 → 校准后 ECE | 校准前 → 校准后 ENCE |
| --- | --- | --- |
| ESOL | 0.2118 → 0.0622 | 0.6414 → 0.5578 |
| Lipophilicity | 0.0413 → 0.0396 | 0.3683 → 0.3704 |

数值为表 2 的偶然不确定性结果。表 3 中，Lipophilicity 的 RMSE：AtomUnc 0.5952，MolUnc 0.8418；ESOL：0.6715 与 0.7520。校准仅更新方差层，均值预测保持不变。",该工作补充性质回归的可信度分析。Zinc15 的 logP 标签由计算产生；随机划分结果用于本实验比较。Lipophilicity 的 ENCE 校准后略有上升，校准收益需逐端点评估。,https://link.springer.com/article/10.1186/s13321-023-00682-3,https://github.com/chuiyang/atom-based_uncertainty_model,作者公开训练、预测、原子可视化和校准脚本；当前实现支持回归任务,2026-09-22,核对 Crossref、PubMed 36737786、正文方法、表 1–3 与作者代码说明
domain-aware-pbrics-2023,Domain-aware / pBRICS,Domain-aware representation of small molecules for explainable property prediction models,按化学官能团对分子进行片段化，让图模型在预测 ADMET 性质时指出哪些片段影响结果。,ADMET 与药代动力学,专题补读,片段表示; 可解释性; 多任务学习,ICLR 2023 MLDD Workshop,2023,会议官方录用目录所列年份,conference,原子级重要性难以直接对应药物化学中的官能团和结构改造；通用分子切分又可能破坏有解释意义的化学片段。,从 ADMETlab 2.0 数据整理的 23 个分类端点，覆盖 Ames、致癌性、CYP、眼部与呼吸毒性、BBBP 和 Tox21；另用 ChEMBL 分子分析片段化效果，以 BBBP 的 102 对匹配分子对（110 个独立分子）等案例检查解释。,pBRICS 在 BRICS 切分后结合官能团规则整理骨架和取代基，使用 MACCS 与 ECFP2 片段指纹构建片段图；比较单任务和多任务 GCN/RGCN，通过 Grad-CAM 给片段赋予重要性，并分析匹配分子对。,表 2 中，多任务片段 RGCN 在 23 个端点上的平均 AUROC 为 84.47%，高于用 ADMETlab 2.0 源码训练的对照模型 83.35%，提升 1.12 个百分点；片段解释展示了官能团变化与 BBBP、Ames 预测的联系。,训练/验证/测试比例为 80%/10%/10%，正文未指明随机或骨架划分。表 2 比较 MT-FraGCN、MT-FraRGCN、ST-FraGCN 和 ADMETlab 2.0 对照；第 3.3–3.4 节分析 BBBP 与 Ames 匹配分子对。,匹配分子对分析发现，骨架相关性有时会主导预测，局部片段解释合理的分子仍可能分类错误。同团队相关期刊研究 pBRICS（10.1021/acs.jcim.3c00689）扩展到 40 个性质；本条的 23 任务与 84.47% 结果对应 Workshop 版本。,https://openreview.net/forum?id=C9WW17wQF7p,,论文及会议目录未提供配套代码链接,2026-09-22,已核对会议官方录用记录及其链接的 13 页 PDF，包括片段表示、数据划分、表 2 和匹配分子对分析；另核对相关期刊研究的书目信息与任务数。
