ID,Short name,Full title,Overview,Topic,Category,Tags,Journal/conference,Publication date,Date basis,Publication status,Research problem,Datasets,Method,Findings,Experimental setup,Analysis,Paper URL,Code URL,Code status,Review date,Review scope
metabognn-2025,MetaboGNN,MetaboGNN: predicting liver metabolic stability with graph neural networks and cross-species data,Combines graph contrastive pretraining with human–mouse metabolic differences to predict the parent fraction remaining after 30 minutes in liver microsomes.,ADMET and pharmacokinetics,Further reading,Metabolic stability; Cross-species; Graph contrastive learning,Journal of Cheminformatics,2025-09-03,Publisher online publication date.,journal,Limited stability labels require representations that capture both molecular structure and species-dependent metabolism.,"The 2023 South Korea drug-discovery challenge: 3,981 compounds, with fixed training/test sets of 3,498/483 and paired human/mouse microsomal remaining percentages. Pretraining uses about 2.58 million unlabeled molecules.","Contrastively pretrains molecular graphs with ring information, then predicts mouse stability and the human–mouse difference jointly to derive human stability.",Adding the species-difference task reduces HLM/MLM RMSE from 30.14/28.72 to 27.91/27.86 percentage points on this dataset.,"**Design.** The challenge uses structural clustering followed by stratified splitting within clusters. Author code randomly holds out another 20% of training data for validation. The paper reports 30 independent runs; parentheses are 95% confidence intervals.

| Setting | HLM RMSE ↓ | MLM RMSE ↓ |
| --- | --- | --- |
| From scratch | 30.94 (30.52–31.35) | 29.48 (29.29–29.67) |
| Contrastive pretraining | 30.14 (29.89–30.39) | 28.72 (28.55–28.88) |
| Pretraining + species-difference task | 27.91 (27.76–28.06) | 27.86 (27.69–28.03) |

Source: Tables 1–2. RMSE is in percentage points of parent compound remaining. Inference predicts both species from structure.",Testing uses the same challenge collection with within-cluster splitting. Microsomal remaining-fraction errors do not establish human clearance or clinical half-life accuracy.,https://pmc.ncbi.nlm.nih.gov/articles/PMC12409945/,https://github.com/qwon135/MetaboGNN,"Training, inference, pretraining scripts and train/test CSVs are public; the validation split was checked in code.",2026-09-22,"Checked the full text, dataset and species-difference task, Tables 1–3, and training code; models were not retrained."
mmpk-2025,MMPK,MMPK: A Multimodal Deep Learning Framework to Predict Human Oral Pharmacokinetic Parameters,"Combines molecular graphs, substructure graphs, SMILES and dose to predict eight human oral pharmacokinetic parameters.",ADMET and pharmacokinetics,Further reading,Human oral PK; Multimodal; Multitask learning; External validation,Journal of Medicinal Chemistry,2025-07-31,Publisher online publication date.,journal,"Oral PK data contain missing labels, dose variation and correlations between endpoints.","The official CSV contains 1,283 compounds and 5,058 raw records. After imputation and subject-weighted averaging, Table S3 lists 1,156 modeling compounds and 4,177 compound–dose combinations. External sets cover investigational and 2024 FDA-approved drugs. Targets: AUC, Cmax, Tmax, half-life, CL/F, Vz/F, MRT and F.","Graph encoders, ChemBERTa and substructure cross-attention integrate dose inputs, multitask learning and imputation based on noncompartmental-analysis relationships.","Mean ten-fold GMFE across eight endpoints is 2.895. MMPK leads the listed baselines on AUC, Cmax, CL/F and Vz/F; XGBoost has lower GMFE on half-life, MRT and F.","**Design.** Code splits unique SMILES into ten folds, then reserves 1/9 of the remaining molecules for validation, giving roughly 8:1:1. Dose records for one molecule stay together. Lower GMFE is better.

| Endpoint | MMPK CV mean±SD | XGBoost CV mean±SD | Investigational external | 2024-approved external |
| --- | --- | --- | --- | --- |
| AUC | 3.929±0.589 | 4.163±0.535 | 4.140 | 3.215 |
| Cmax | 3.135±0.358 | 3.165±0.257 | 2.758 | 2.305 |
| Half-life | 2.468±0.261 | 2.405±0.241 | 2.262 | 2.753 |
| CL/F | 4.029±0.636 | 4.232±0.578 | 3.861 | 2.236 |
| Vz/F | 3.476±0.356 | 3.579±0.404 | 3.472 | 2.836 |

Sources: Tables S4, S8 and S9; external scores use averaged predictions. The raw external categories contain 118/9 compounds and 602/33 records, respectively; endpoint evaluation counts depend on available labels.","CL/F and Vz/F are apparent oral parameters. Endpoint sizes and errors vary; raw records, compound–dose combinations and unique compounds are separate counts.",https://doi.org/10.1021/acs.jmedchem.5c01522,https://github.com/xli7654321/MMPK,"Training, prediction, splitting and metric code are public; data and models are provided on Zenodo.",2026-09-22,"Checked the abstract, Tables S3–S9, official CSV counts, and split/loading/metric code; models were not retrained."
hergai-2025,HERGAI,HERGAI: an artificial intelligence tool for structure-based prediction of hERG inhibitors,Combines docking and ensemble models to identify compounds likely to block the cardiac hERG ion channel in large candidate collections.,ADMET and pharmacokinetics,Core papers,hERG; Docking; Class imbalance,Journal of Cheminformatics,2025-07-24,Publisher online publication date,journal,Small or positive-enriched test sets poorly represent screening collections containing many negatives and few hERG blockers.,"299,927 curated PubChem/ChEMBL molecules: 1,937 positives and 297,990 negatives. Uses an IC50 threshold of 20 μM and an approximately 3:1 train/test allocation grouped by Bemis–Murcko scaffold.","Selects poses after Smina docking and extracts protein–ligand PLEC fingerprints. RF, XGBoost and DNN base models feed a DNN stacking model; oversampling occurs within training folds.",Reports test recall of approximately 86% for blockers with IC50 ≤ 20 μM and 94% for those with IC50 ≤ 1 μM. Screening enrichment exceeds the generic docking scores compared in the paper.,"**Design.** Blockers are defined by IC50≤20 μM. Bemis–Murcko scaffolds are allocated approximately 3:1 to training and testing. Table 1 lists 224,945 training molecules (1,453 positives) and 74,982 test molecules (484 positives). Fivefold training-set validation selects hyperparameters and thresholds; oversampling is confined to training folds, with seed 42.

**Results.** The final stacked DNN, HERGAI, achieves test recall 0.864 and recalls 94.29% of blockers with IC50≤1 μM. Comparisons include individual RF/XGBoost/DNN models, docking scores, and CardioTox net and AttenhERG evaluated on the same test set. Specificity, balanced accuracy, ROC-AUC and top-0.1%/1% enrichment are also reported (Results and Discussion, Table 2, Conclusions).","The test set is a scaffold holdout from the same curated sources. Test screening performance also informed docking-pose scoring selection, motivating a separate external evaluation of the complete pipeline. Recall should be read alongside specificity and enrichment.",https://doi.org/10.1186/s13321-025-01063-8,https://github.com/vktrannguyen/HERGAI,Author code and data are accessible; the repository was archived on 2026-01-01.,2026-09-22,"Checked Table 1 sample counts, training-fold oversampling, threshold selection and test results"
mc-pgp-2025,MC-PGP,A multimodal contrastive learning framework for predicting P-glycoprotein substrates and inhibitors,"Fuses SMILES, fingerprints and molecular graphs to separately predict P-gp inhibition and transport-substrate status.",ADMET and pharmacokinetics,Core papers,P-gp; Multimodal learning; External validation,Journal of Pharmaceutical Analysis,2025-04-16,Online publication date; issue month listed separately.,journal,Single representations miss P-gp-related structural information. Inhibitors and substrates require distinct tasks and evaluation on compounds from new sources.,"Public databases/literature: 5,943 molecules for inhibition (4,558 positives, 1,385 negatives) and 4,018 for substrate prediction (2,455 positives, 1,563 negatives). Independent external sets contain 140 and 185 molecules, respectively.","Attention fuses SMILES sequences, fingerprints and graphs. Graph contrastive learning aligns local and global structure, with analysis of relevant functional groups.",External AUROC is 0.906±0.015 for inhibitors and 0.906±0.022 for substrates; FP-GNN scores 0.825±0.015 and 0.819±0.027 on the same tests. Absolute gains are 0.081 and 0.087.,"**Design.** Inhibitor and substrate collections contain 5,943 and 4,018 molecules. Both use random and scaffold 8:1:1 splits, 30 Bayesian optimization trials on validation data, and ten seeds. External sets contain 140 and 185 molecules, evaluated with models from the random-split experiments.

| Evaluation | MC-PGP AUROC ↑ | Comparator AUROC ↑ | Location |
| --- | --- | --- | --- |
| Inhibitors, random | 0.939±0.006 | CMMS-GCL 0.928±0.010 | Table 2 |
| Inhibitors, scaffold | 0.857±0.009 | FP-GNN 0.832±0.010 | Table 3 |
| Inhibitors, external | 0.906±0.015 | FP-GNN 0.825±0.015 | Table 4 |
| Substrates, external | 0.906±0.022 | FP-GNN 0.819±0.027 | Table 5 |

The reported 9.82%/10.62% improvements are relative; absolute AUROC gains are 0.081/0.087.",Inhibition and substrate transport are separate tasks. The inhibitor AUROC drop from random to scaffold splitting demonstrates the remaining challenge of generalizing to new scaffolds.,https://doi.org/10.1016/j.jpha.2025.101313,,Public availability of the complete training implementation remains to be verified.,2026-09-22,"Checked training protocol, external-set descriptions and Tables 2–5"
molmcl-2025,MolMCL,Multi-channel learning for integrating structural hierarchies into context-dependent molecular representation,"Learns molecular, scaffold and local-context representations, then combines them by task for property and bioactivity prediction.",ADMET and pharmacokinetics,Further reading,Multichannel pretraining; Activity cliffs,Nature Communications,2025-01-06,Publisher online publication date,journal,"Tasks depend on different structural levels, making fixed graph representations and readouts difficult to adapt across tasks.",ZINC15 for pretraining; 7 MoleculeNet datasets and 30 MoleculeACE bioactivity tasks for downstream evaluation.,"Multichannel learning over molecular, scaffold and contextual information, using molecular perturbations, contrastive learning and prompt-guided readout.","Multichannel learning and task adaptation improve representations on the evaluated molecular tasks, with activity-cliff experiments demonstrating the design's value.",Downstream experiments cover 7 MoleculeNet subsets and 30 MoleculeACE bioactivity tasks.,Activity-cliff experiments help examine representation sensitivity to local structural changes. This MolMCL and MoleMCL in Bioinformatics are separate studies.,https://www.nature.com/articles/s41467-024-55082-4,https://github.com/yuewan2/MolMCL,The authors provide a public code/project page.,2026-09-19,"Bibliographic metadata, key sections of the paper and related official resources."
mole-2024,MolE,MolE: a foundation model for molecular graphs using disentangled attention,"Pretrains on a large collection of molecular graphs, adds supervised biological-task training, and fine-tunes for ADMET prediction.",ADMET and pharmacokinetics,Core papers,Graph foundation model; Large-scale pretraining,Nature Communications,2024-11-12,Publisher online publication date,journal,The study addresses how to learn transferable representations from very large unlabeled molecular collections and combine them with labeled biological information.,"Self-supervised pretraining uses approximately 842 million ZINC20/ExCAPE-DB molecules; supervised pretraining uses about 456,000 molecules with 1,310 ChEMBL readouts. Evaluation covers 22 TDC tasks, whose test molecules are removed from both pretraining stages.",Decoupled attention models atom content and relative graph position. Training proceeds from atom-environment prediction to supervised pretraining and downstream fine-tuning.,"Reports results exceeding the best published methods in a September 2023 TDC snapshot on 10/22 tasks, with means and standard deviations across multiple runs.","**Design.** TDC scaffold splits reserve 20% for testing; results are mean±SD over five independent runs. Table 1 includes September 2023 and June 2024 leaderboard snapshots; the text’s 10/22 wins refer to the former.

| Task | MolE | Best September 2023 baseline | Metric |
| --- | --- | --- | --- |
| Lipophilicity, 4,200 molecules | 0.406±0.009 | Chemprop-RDKit 0.467±0.006 | MAE ↓ |
| PPBR, 1,797 molecules | 7.229±0.168 | Chemprop 7.811±0.163 | MAE ↓ |
| Half-life, 667 molecules | 0.578±0.032 | Euclia ML 0.547±0.032 | Spearman r ↑ |
| Caco-2, 906 molecules | 0.329±0.008 | BaseBoosting 0.285±0.005 | MAE ↓ |
| AMES, 7,255 molecules | 0.834±0.015 | ZairaChem 0.871±0.002 | AUROC ↑ |

**Ablation.** Module comparisons use approximately 1.2 million GuacaMol molecules for self-supervised pretraining. Removing disentangled attention worsens 19/22 tasks (Supplementary Table S1).","Pretraining scale, task supervision and architecture jointly affect performance. The smaller-pretraining ablations are distinct from the full 842-million-molecule model.",https://www.nature.com/articles/s41467-024-53751-y,https://github.com/recursionpharma/mole_public,Implementation is public; the pretrained-model download section in the README remains TODO as of 2026-09-22,2026-09-22,"Checked pretraining data, test-molecule exclusion, Table 1, ablation descriptions and the official README"
pharmabench-2024,PharmaBench,PharmaBench: Enhancing ADMET benchmarks with large language models,"Uses language models to extract assay conditions, then cleans and harmonizes ADMET records to build better-specified benchmarks.",ADMET and pharmacokinetics,Data and benchmarks,Data curation; Assay conditions,Scientific Data,2024-09-10,Publisher online publication date,journal,Inconsistent assay conditions and endpoint definitions reduce benchmark quality when labels are simply pooled.,"156,618 raw records from 14,401 bioassays, curated into 52,482 records across 11 ADMET datasets.","Language-model-assisted assay-information extraction, followed by curation of structures, units, duplicates and assay conditions, with modeling splits provided.",Harmonizes assay conditions and data processing to provide ADMET modeling datasets with clearer experimental context.,"Benchmark construction focuses on assay conditions, units, structure cleaning and data splitting.",The workflow can guide data cleaning and label harmonization. Merging with other public data requires duplicate checks by source and molecular structure.,https://www.nature.com/articles/s41597-024-03793-0,https://github.com/mindrank-ai/PharmaBench,The authors provide a public code/project page.,2026-09-19,"Bibliographic metadata, key sections of the paper and related official resources."
bbb-megamolbart-2024,BBB MegaMolBART,Predicting blood–brain barrier permeability of molecules with a large language model and machine learning,"Predicts blood–brain barrier permeability with a molecular language model and XGBoost, then tests selected compounds in human-derived 3D BBB spheroids.",ADMET and pharmacokinetics,Further reading,BBB; Molecular language models; In vitro validation,Scientific Reports,2024-07-09,Publisher online publication date,journal,BBB labels are limited; the study tests whether pretrained molecular representations improve prediction and receive experimental support in vitro.,"B3DB: 7,807 molecules (4,956 BBB+, 2,851 BBB−); CMUH: 2,499 (105 BBB+, 2,394 BBB−). B3DB includes 1,058 logBB values. Spheroid experiments select 21 predicted permeable and 5 predicted impermeable candidates, with controls.","MegaMolBART encodes SMILES for XGBoost classification/regression, compared with Morgan fingerprints. BBB spheroids contain human brain microvascular endothelial cells, pericytes and astrocytes; LC–MS/MS measures permeability.","Reports a final held-out AUROC of 0.88. Spheroid results agree with prediction directions for the selected candidates, supporting exploratory BBB screening.","Compares B3DB-only training, CMUH external testing and mixed-data settings. The final classifier splits B3DB/CMUH 80/10/10, achieving held-out AUROC = 0.88.","Spheroid experiments select candidates with very high or low scores, supporting their in vitro permeability classification. Intermediate-score compounds and human permeability need further experiments.",https://doi.org/10.1038/s41598-024-66897-y,,The paper links B3DB and MegaMolBART components; a link to the complete training workflow remains to be added.,2026-09-22,"Bibliographic metadata, relevant methods and results, and the listed official resources."
admet-ai-2024,ADMET-AI,ADMET-AI: a machine learning ADMET platform for evaluation of large-scale chemical libraries,Packages graph neural networks into web and local tools that predict multiple ADMET properties for large compound libraries.,ADMET and pharmacokinetics,Core papers,ADMET; Platform; High throughput,Bioinformatics,2024-06-24,Publisher online publication date,journal,"Large-scale screening requires accurate multi-endpoint predictions, high throughput and local deployment.",41 TDC prediction tasks: 31 classification and 10 regression tasks. Performance rankings use the 22-task ADMET Benchmark Group subset.,"The paper uses Chemprop D-MPNN with 200 RDKit descriptors, separate multitask classification and regression models, and model ensembles.",Single-task models exceed AUROC 0.85 on 20/31 classification tasks and R² 0.6 on 5/10 regression tasks. Multi-task models perform similarly with faster inference. The 32-core CPU plus GPU timing is 3.1 hours for one million input records.,"**Design.** Uses 41 tasks from TDC v0.4.1, including the 22-task ADMET Benchmark Group. Models are trained across five train/validation/test splits; deployment averages five models. Single-task training is compared with separate classification and regression multi-task models.

| Experiment | Result | Location |
| --- | --- | --- |
| Single-task classification, 31 tasks | 20 tasks exceed AUROC 0.85 | Supplementary Fig. S2 |
| Single-task regression, 10 tasks | 5 tasks exceed R² 0.6 | Supplementary Fig. S2 |
| Local 32-core CPU + GPU | 3.1 hours for one million records | Fig. 1C |
| Local 8-core CPU, no GPU | About 5 hours for one million records | Fig. 1C |

**Timing data.** The million-record input repeats 1,000 DrugBank molecules 1,000 times; times are medians of three trials. This measures throughput, not predictive accuracy on one million distinct molecules. Endpoint scores are in Supplementary Table S1.","Paper evaluations, deployed multi-task ensembles and current software releases are distinguished. Version 2 changes Chemprop and feature configuration; use the matching release for paper reproduction.",https://pmc.ncbi.nlm.nih.gov/articles/PMC11226862/,https://github.com/swansonk14/admet_ai,The authors provide a public code/project page.,2026-09-22,"Checked training versus deployment, Fig. 1 timing design and supplementary result references"
admetsar-3-2024,admetSAR3.0,"admetSAR3.0: a comprehensive platform for exploration, prediction and optimization of chemical ADMET properties","Integrates ADMET data search, property prediction and structural optimization suggestions to help identify suitable candidates.",ADMET and pharmacokinetics,Further reading,ADMET; Platform; Structural optimization,Nucleic Acids Research,2024-04-22,Publisher online publication date,journal,Users need both property predictions and ways to find similar compounds and structural modifications that improve ADMET.,"More than 370,000 experimental records covering 104,652 distinct compounds and 119 ADMET endpoints.","CLMGraph first uses QED-based molecular pairs from ten million small molecules for contrastive pretraining, followed by multi-task ADMET fine-tuning. The platform also integrates similarity search, scaffold hopping and matched-pair transformation rules.",Mean AUC across 90 classification endpoints is 0.870; over 82% of regression endpoints have Pearson r>0.70. Half-life and mean residence time perform less well. Experimental-data search and structure optimization complement prediction.,"**Design.** Fivefold cross-validation and external validation; CLMGraph uses BCE for classification and MSE for regression. Pretraining constructs contrastive pairs using QED information from ten million molecules.

**Results.** Results presentation reports mean AUC 0.870 across 90 classification endpoints and Pearson r>0.70 for over 82% of regression endpoints. Renal-clearance classification, half-life and mean residence time perform less well. The main text does not itemize external-set sizes and scores; these averages are recorded as overall reported results, not as external-validation averages.

**Optimization.** ADMETopt2 extracts transformation rules for 21 endpoints. Its example connects suggestions to previously published structural modifications and measurements (Supplementary Text S1, Table S1). Table 1 mainly compares platform coverage, functionality and speed.","Endpoint model reports are needed to separate cross-validation and external results. The optimization example is retrospective, rather than experimental validation of every generated suggestion.",https://doi.org/10.1093/nar/gkae298,,The web platform is freely accessible and ADMETopt2 transformation rules are downloadable from figshare; the paper does not link a full predictor training-code and weights repository,2026-09-22,"Checked full-text Model building, Results presentation, the optimization example and data availability"
admetlab-3-2024,ADMETlab 3.0,"ADMETlab 3.0: an updated comprehensive online ADMET prediction platform enhanced with broader coverage, improved performance, API functionality and decision support","Provides online ADMET and physicochemical predictions with uncertainty estimates, an API and decision-support tools.",ADMET and pharmacokinetics,Further reading,ADMET; Platform; Uncertainty,Nucleic Acids Research,2024-04-04,Publisher online publication date,journal,"Limited property coverage, inconvenient access and point predictions alone constrain platform support for compound selection.","Over 400,000 modeling records covering 77 learned endpoints (59 classification, 18 regression). The 119 platform outputs also include 34 directly computed endpoints and eight rules. Endpoint counts are detailed in Supplementary Table S1.","Multitask directed message passing and descriptor-based modeling, combined with predictive uncertainty, API access and decision support.","Under common data and splits, the DMPNN models outperform MGA on 47/59 classification tasks. The platform combines 77 learned endpoints with calculated properties, rules, uncertainty estimates and an API.","**Design.** Each endpoint uses random 8:1:1 splits, repeated five times; Adam and Bayesian hyperparameter optimization train DMPNN and DMPNN-Des. MGA is retrained on the same data and splits. Classification uses AUC, ACC and MCC; regression uses R², RMSE and MAE.

**Results and locations.** The text reports that the DMPNN models outperform MGA on 47/59 classification tasks (Fig. 3). Supplementary Tables S4 and S5 contain classification and regression scores, respectively. LC50FM reaches R² 0.68; the new half-life regression endpoint reaches approximately 0.7. S6–S7 describe uncertainty strata and thresholds.

**Access.** Web and API services are provided. API users can choose DMPNN or DMPNN-Des and obtain predictions with confidence categories. Random-split evaluations are distinct from TDC scaffold benchmarks.",The 119 outputs include 77 learned endpoints. Coverage and speed inform tool selection; predictive accuracy is assessed for each endpoint and evaluation split.,https://doi.org/10.1093/nar/gkae236,,Web service and API documentation are available; the paper does not link a public repository containing the complete training code and model weights,2026-09-22,"Checked full-text model construction, Fig. 3, endpoint counts and references to Supplementary Tables S1–S7"
human-clearance-bias-2024,Human clearance with reduced bias,Prediction of Human Clearance Using In Silico Models with Reduced Bias,Removes structurally similar and same-class training compounds to evaluate human clearance prediction for new chemistry.,ADMET and pharmacokinetics,Further reading,Human clearance; Generalization; Conformal prediction; Random forest,Molecular Pharmaceutics,2024-01-29,Publisher online publication date.,journal,Structural neighbors and therapeutic-class relationships affect generalization estimates for human clearance models.,"A collection of 1,340 compounds with human intravenous PK data; Test343 contains 343 compounds for quasi-prospective testing. Clearance is measured in mL/min/kg.",Descriptor-based random forests are compared with ChemProp and PLS. R4 removes same structural–therapeutic-class compounds or neighbors with Tanimoto similarity >0.7 and trains a separate model for each test molecule. Conformal prediction supplies intervals.,"On Test343, RF GMFE changes from 3.11 in R3 to 3.33 after neighbor exclusion in R4; the fraction within two-fold error falls from 44% to 41%.","**Design.** R3 uses one model trained on Lombardo 2014 data. R4 trains 343 models, each after test-molecule-specific exclusions.

| Model | GMFE ↓ | Within two-fold ↑ | Within three-fold ↑ |
| --- | --- | --- | --- |
| RF R3 | 3.11 | 44% | 60% |
| RF R4 | 3.33 | 41% | 57% |
| ChemProp CP4 | 3.27 | 39% | 57% |
| PLS4 | 4.80 | 36% | 53% |

Source: Table S9. CP4/PLS4 use corresponding per-molecule exclusions. Table S8 reports R4 GMFE 11.66 for 47 compounds with clearance >20.7 mL/min/kg, exposing a high-error subgroup.",Errors vary by clearance mechanism and range. Per-test-molecule retraining in R4 is a distinct protocol from evaluating one fixed model.,https://doi.org/10.1021/acs.molpharmaceut.3c00812,https://acs.figshare.com/articles/dataset/25104249,Publisher attachments provide a KNIME workflow ZIP and data XLSX; files were inspected but the workflow was not executed.,2026-09-22,"Checked the official abstract, Tables S3/S8/S9, data XLSX and KNIME archive; models were not reproduced."
kpgt-2023,KPGT,A knowledge-guided pre-training framework for improving molecular representation learning,Incorporates fingerprints and physicochemical descriptors into graph pretraining to learn representations for ADMET and other molecular properties.,ADMET and pharmacokinetics,Core papers,Graph pretraining; Chemical knowledge,Nature Communications,2023-11-21,Publisher online publication date,journal,Graph-pretraining objectives can diverge from downstream needs; representations must retain chemical knowledge and transfer effectively.,"Approximately 2 million ChEMBL29 molecules for pretraining; 63 downstream datasets comprising 11 common property datasets, 22 TDC ADMET tasks and 30 MoleculeACE tasks.","Uses the LiGhT line-graph Transformer with descriptor- and fingerprint-guided pretraining, followed by downstream fine-tuning.",Figure 2c and Supplementary Table 8 report the best performance among the models compared at publication on 16/22 TDC ADMET tasks.,"**Design.** Eleven standard property datasets use 8:1:1 scaffold splits and three runs; 22 TDC tasks use 7:1:2 scaffold splits and five runs. TDC comparisons include 28 classical and deep-learning baselines. Metrics are task-specific: AUROC/AUPRC for classification and MAE/Spearman r for regression.

| TDC task | Metric | KPGT | Best baseline listed in the paper |
| --- | --- | --- | --- |
| Caco-2, 906 molecules | MAE ↓ | 0.284±0.009 | BaseBoosting 0.285±0.005 |
| P-gp inhibition, 1,212 molecules | AUROC ↑ | 0.938±0.004 | ZairaChem 0.935±0.006 |
| CYP2C9 inhibition, 12,092 molecules | AUPRC ↑ | 0.797±0.006 | ZairaChem 0.786±0.004 |
| hERG, 648 molecules | AUROC ↑ | 0.847±0.024 | SimGCN 0.874±0.014 |
| AMES, 7,255 molecules | AUROC ↑ | 0.868±0.003 | ZairaChem 0.871±0.002 |

Source: Supplementary Table 8, mean±SD. The 16/22 count describes the paper’s historical comparison; hERG and AMES illustrate tasks where KPGT did not lead.

**Comparison scope.** The supplement lists PPBR size as 1,614 versus 1,797 in the TDC dictionary, and labels CYP3A4 substrate as AUPRC versus AUROC in the TDC protocol. These two entries await reconciliation before cross-method comparison; the other 20 retain their reported values.","Small differences in mean scores, such as Caco-2, should be interpreted alongside run variability. MoleculeACE and HPK1/FGFR1 experiments provide separate transfer evaluations.",https://www.nature.com/articles/s41467-023-43214-1,https://github.com/lihan97/KPGT,The authors provide a public code/project page.,2026-09-22,"Checked evaluation protocols, Fig. 2 and the published Supplementary Table 8"
mtgl-admet-2023,MTGL-ADMET,ADMET property prediction via multi-task graph learning under adaptive auxiliary task selection,Selects useful auxiliary tasks for each ADMET endpoint to reduce interference during multitask training.,ADMET and pharmacokinetics,Core papers,Multitask learning; Auxiliary tasks; Negative transfer,iScience,2023-10-24,Online publication date; issue month listed separately.,journal,Training all ADMET tasks together can cause negative transfer; each primary task may need a different auxiliary-task set.,"24 endpoints collected from 8 publications: 18 classification and 6 regression tasks, covering 43,291 compounds and including ADMET plus 2 physicochemical endpoints.","Uses state theory and maximum flow for auxiliary-task selection, together with shared atom representations, task-specific attention and a primary-task-centered gating module.","Under the paper’s common evaluation, MTGL-ADMET has the highest mean on 20/24 endpoints and ranks second on four. P-gp substrate AUROC is 0.801±0.031 versus MGA’s 0.719±0.035, supporting task-specific auxiliary selection.","**Design.** The collection contains 43,291 compounds and 24 endpoints (18 classification, six regression). Random 8:1:1 splits use ten seeds; validation data select auxiliary tasks. Baselines are ST-GCN, ST-MGA, MT-GCN, MT-GCNAtt and MGA.

| Endpoint | Metric | MTGL-ADMET | MGA |
| --- | --- | --- | --- |
| P-gp substrate | AUROC ↑ | 0.801±0.031 | 0.719±0.035 |
| BBB | AUROC ↑ | 0.973±0.005 | 0.956±0.010 |
| Caco-2 | R² ↑ | 0.523±0.025 | 0.385±0.031 |
| ESOL | R² ↑ | 0.931±0.038 | 0.866±0.020 |

Source: Table 1, mean±SD. MGA has higher means for CYP2C9 inhibition, CYP2D6 inhibition and hepatotoxicity; ST-MGA leads respiratory toxicity.","Half-life and clearance are classification tasks here, and Caco-2 uses R². These task definitions and random splits differ from the corresponding TDC benchmarks.",https://pmc.ncbi.nlm.nih.gov/articles/PMC10654589/,https://github.com/dubingxue/MTGL-ADMET,The authors provide a public code/project page.,2026-09-22,"Checked STAR Methods, the 24-endpoint collection and Table 1"
maplight-2023,MapLight,ADMET property prediction through combinations of molecular fingerprints,Combines molecular fingerprints and descriptors in CatBoost models to assess the strength of conventional features for ADMET prediction.,ADMET and pharmacokinetics,Preprints,Fingerprints; CatBoost; Baselines,arXiv,2023-09-29,Initial arXiv submission date; revisions listed in the citation,preprint,"Can simple, computationally inexpensive feature-based models remain competitive with deep learning?",22 TDC ADMET tasks.,"Combines ECFP, Avalon, ErG and molecular descriptors in CatBoost, with an additional variant incorporating GNN representations.",Fingerprint combinations perform well on multiple ADMET endpoints and provide useful baselines. A subsequent third-party audit reports that two MapLight variants passed its checks.,Evaluates model variants on 22 TDC ADMET tasks; a separate third-party preprint audits the reproducibility of two variants.,Fingerprint combinations offer practical endpoint-modeling baselines. Read third-party audit results alongside the code versions and checks used.,https://arxiv.org/abs/2310.00174,https://github.com/maplightrx/MapLight-TDC,The authors provide a public code/project page.,2026-09-19,"Bibliographic metadata, key sections of the paper and related official resources."
ai-toxicity-review-2023,AI for drug toxicity: review,"Artificial Intelligence in Drug Toxicity Prediction: Recent Advances, Challenges, and Future Perspectives",Surveys machine-learning and deep-learning approaches by toxicity task and collects public datasets and prediction tools for model development.,ADMET and pharmacokinetics,Reviews,Toxicity; Review; Data and tools,Journal of Chemical Information and Modeling,2023-04-26,Publisher online publication date; issue date 2023-05-08,journal,"Toxicity research spans heterogeneous endpoints, data resources and models, creating a need for task-oriented routes to usable datasets, representative methods and tools.","Covers six major toxicity properties and Tox21 endpoints. Supplementary Table S2 lists resources including Tox21, TOXRIC, ToxRefDB 2.0, DILIrank, ToxCast, CTD, PubChem, ChEMBL, OCHEM and TDC; database sizes are recorded as accessed on 2022-05-10.","Reviews machine-learning algorithms and deep-learning architectures for toxicity prediction. Supplementary Table S1 compares Tox21 methods, input features and performance; S2 lists data sources; S3 catalogs tools, their model counts and algorithms.","Provides a task-oriented route to models, data and tools, covering fingerprint and descriptor models as well as graph networks, multitask and knowledge-guided methods. It offers a reading framework for a toxicity-prediction topic.","This is a review, with performance drawn from cited studies. Table S1 records features and AUC/ACC by method. Table S3 includes ProTox-II, FP-ADMET, HelixADMET and ADMETlab 2.0, with website access dated 2022-06-15.","Table S1 scores reflect the endpoints and experimental settings of different original studies; model comparisons require those source papers. Database sizes, tool versions and access dates in Tables S2–S3 are retained as historical records.",https://pubs.acs.org/doi/10.1021/acs.jcim.3c00200,,Associated resources are the public-data and prediction-tool lists in Supplementary Tables S2–S3.,2026-09-22,Reviewed publisher metadata and abstract and Tables S1–S3 in the authors’ public 17-page supporting information; the individual toxicity sections in the main text have not been checked in full.
