id,name,collection,size,endpoints,endpoint,metric,license,source,download,license_source,loader,checked_on
CYP3A4_Substrate_CarbonMangels,CYP3A4_Substrate_CarbonMangels,TDC ADMET Group,667,1,CYP3A4 substrate,AUROC,CC BY 4.0,https://tdcommons.ai/benchmark/admet_group/overview/,https://tdcommons.ai/single_pred_tasks/adme/,https://tdcommons.ai/single_pred_tasks/adme/,admet_group().get('CYP3A4_Substrate_CarbonMangels'),2026-09-22
Half_Life_Obach,Half_Life_Obach,TDC ADMET Group,667,1,Half-life,Spearman,Not specified,https://tdcommons.ai/benchmark/admet_group/overview/,https://tdcommons.ai/single_pred_tasks/adme/,https://tdcommons.ai/single_pred_tasks/adme/,admet_group().get('Half_Life_Obach'),2026-09-22
Clearance_Hepatocyte_AZ,Clearance_Hepatocyte_AZ,TDC ADMET Group,1020,1,Hepatocyte clearance,Spearman,Not specified,https://tdcommons.ai/benchmark/admet_group/overview/,https://tdcommons.ai/single_pred_tasks/adme/,https://tdcommons.ai/single_pred_tasks/adme/,admet_group().get('Clearance_Hepatocyte_AZ'),2026-09-22
Clearance_Microsome_AZ,Clearance_Microsome_AZ,TDC ADMET Group,1102,1,Microsomal clearance,Spearman,Not specified,https://tdcommons.ai/benchmark/admet_group/overview/,https://tdcommons.ai/single_pred_tasks/adme/,https://tdcommons.ai/single_pred_tasks/adme/,admet_group().get('Clearance_Microsome_AZ'),2026-09-22
LD50_Zhu,LD50_Zhu,TDC ADMET Group,7385,1,LD50,MAE,Not specified,https://tdcommons.ai/benchmark/admet_group/overview/,https://tdcommons.ai/single_pred_tasks/tox/,https://tdcommons.ai/single_pred_tasks/tox/,admet_group().get('LD50_Zhu'),2026-09-22
hERG,hERG,TDC ADMET Group,648,1,hERG blockade,AUROC,Not specified,https://tdcommons.ai/benchmark/admet_group/overview/,https://tdcommons.ai/single_pred_tasks/tox/,https://tdcommons.ai/single_pred_tasks/tox/,admet_group().get('hERG'),2026-09-22
AMES,AMES,TDC ADMET Group,7255,1,Mutagenicity,AUROC,Not specified,https://tdcommons.ai/benchmark/admet_group/overview/,https://tdcommons.ai/single_pred_tasks/tox/,https://tdcommons.ai/single_pred_tasks/tox/,admet_group().get('AMES'),2026-09-22
DILI,DILI,TDC ADMET Group,475,1,Liver injury,AUROC,Not specified,https://tdcommons.ai/benchmark/admet_group/overview/,https://tdcommons.ai/single_pred_tasks/tox/,https://tdcommons.ai/single_pred_tasks/tox/,admet_group().get('DILI'),2026-09-22
MoleculeNet-Tox21,Tox21,MoleculeNet,7831,12,Toxicity,Task-specific,See original provider,https://doi.org/10.1039/C7SC02664A,https://deepchem.readthedocs.io/en/latest/api_reference/moleculenet.html#tox21-datasets,https://doi.org/10.1039/C7SC02664A,dc.molnet.load_tox21(),2026-09-22
MoleculeNet-SIDER,SIDER,MoleculeNet,1427,27,Adverse reactions,Task-specific,See original provider,https://doi.org/10.1039/C7SC02664A,https://deepchem.readthedocs.io/en/latest/api_reference/moleculenet.html#sider-datasets,https://doi.org/10.1039/C7SC02664A,dc.molnet.load_sider(),2026-09-22
MoleculeNet-ClinTox,ClinTox,MoleculeNet,1478,2,Clinical toxicity / FDA approval,Task-specific,See original provider,https://doi.org/10.1039/C7SC02664A,https://deepchem.readthedocs.io/en/latest/api_reference/moleculenet.html#clintox-datasets,https://doi.org/10.1039/C7SC02664A,dc.molnet.load_clintox(),2026-09-22
MoleculeNet-HIV,HIV,MoleculeNet,41127,1,HIV replication inhibition,Task-specific,See original provider,https://doi.org/10.1039/C7SC02664A,https://deepchem.readthedocs.io/en/latest/api_reference/moleculenet.html#hiv-datasets,https://doi.org/10.1039/C7SC02664A,dc.molnet.load_hiv(),2026-09-22
MoleculeNet-BBBP,BBBP,MoleculeNet,2039,1,BBB,Task-specific,See original provider,https://doi.org/10.1039/C7SC02664A,https://deepchem.readthedocs.io/en/latest/api_reference/moleculenet.html#bbbp-datasets,https://doi.org/10.1039/C7SC02664A,dc.molnet.load_bbbp(),2026-09-22
MoleculeNet-ESOL,ESOL,MoleculeNet,1128,1,Solubility,Task-specific,See original provider,https://doi.org/10.1039/C7SC02664A,https://deepchem.readthedocs.io/en/latest/api_reference/moleculenet.html#delaney-esol-datasets,https://doi.org/10.1039/C7SC02664A,dc.molnet.load_delaney(),2026-09-22
MoleculeNet-FreeSolv,FreeSolv,MoleculeNet,642,1,Hydration free energy,Task-specific,See original provider,https://doi.org/10.1039/C7SC02664A,https://deepchem.readthedocs.io/en/latest/api_reference/moleculenet.html#freesolv-datasets,https://doi.org/10.1039/C7SC02664A,dc.molnet.load_freesolv(),2026-09-22
MoleculeNet-Lipophilicity,Lipophilicity,MoleculeNet,4200,1,logD,Task-specific,See original provider,https://doi.org/10.1039/C7SC02664A,https://deepchem.readthedocs.io/en/latest/api_reference/moleculenet.html#lipo-datasets,https://doi.org/10.1039/C7SC02664A,dc.molnet.load_lipo(),2026-09-22
